DST1101*04RRX020   0  -2  -2   1   0  -3  -4  -7 -10 -10 -10 -10  -6  -4  -7  -8  -8  -9  -9  -7  -6  -5  -6  -9  -9  -6 0
DST1101*05RRX020   0  -8  -9  -7  -6  -5  -5  -6  -5  -3  -1  -2  -1  -2  -3  -3  -3  -5  -6  -4   0  -3  -6  -9 -10  -5 0
DST1101*06RRX020   0  -7  -3  -4  -5  -5  -6  -9  -7  -5  -3  -2  -1  -2  -4  -5  -2  -3   1   5  13  23  19  -8 -20  -2 1
DST1101*07RRX020   0 -42 -42 -31 -33 -36 -41 -45 -42 -38 -33 -27 -27 -30 -29 -26 -21 -21 -21 -20 -21 -18 -22 -25 -24 -30 1
DST1101*08RRX020   0 -22 -21 -16 -14 -11 -13 -13 -18 -20 -17 -16 -21 -21 -19 -14 -10 -12 -15 -15 -16 -13 -15 -17 -16 -16 1
DST1101*09RRX020   0 -17 -19 -17 -16 -12 -11 -12 -13 -14 -13 -13 -13 -16 -18 -18 -17 -17 -16 -15 -13 -12 -16 -15 -16 -15 1
DST1101*10RRX020   0 -16 -14 -12 -12 -12 -12 -10 -13 -16 -15 -16 -17 -17 -14 -11 -11 -12 -12 -12 -10 -13 -17 -19 -19 -14 1
DST1101*11RRX020   0 -18 -17 -17 -14 -10 -11 -10  -6  -6  -8 -11 -16 -22 -21 -20 -21 -23 -24 -22 -16 -11 -14 -18 -15 -15 1
DST1101*12RRX020   0 -11  -9  -3  -2  -2  -4  -5  -5  -5 -11 -14 -13  -8  -6  -2  -4  -9 -12  -9  -6  -9  -8 -14 -15  -8 1
DST1101*13RRX020   0 -14 -13 -11  -9  -7  -4  -6  -5  -6  -4  -7 -11 -14 -15 -14 -13 -15 -18 -14 -20 -25 -25 -29 -28 -14 1
DST1101*14RRX020   0 -28 -29 -29 -24 -19 -16 -14 -13 -17 -16 -15 -15 -12 -15 -19 -21 -21 -17 -11  -9 -13 -15 -19 -19 -18 1
DST1101*15RRX020   0 -20 -18 -14 -13 -17 -16 -14 -12  -8  -8 -12 -15 -13 -12  -9  -4  -1  -4  -6  -8  -8  -8 -10  -9 -11 1
DST1101*16RRX020   0 -10  -9  -8  -8  -6  -6  -7  -5  -3  -3  -2  -1   5   8  10   7  -5  -9 -10 -10  -8  -8  -8  -8  -4 1
DST1101*17RRX020   0  -6  -7  -6  -2   1  -5  -6  -8  -7  -6 -10  -8  -6  -4  -2  -3  -7  -8  -6  -5  -8  -8 -10  -9  -6 1
DST1101*18RRX020   0  -9  -8  -4  -7  -4  -4  -5  -2   4   3   0   1   2   1   5  10  10   5   8   8   5   3   1  -3   1 0
DST1101*19RRX020   0  -1   1   1  -1  -1  -1   1   0  -5 -12 -16 -12 -11  -9  -9 -10 -13 -17 -15 -14 -13 -12 -13 -15  -8 0
DST1101*20RRX020   0 -14 -12 -12 -14 -12  -9  -9  -9 -10  -8 -10  -8  -4  -3  -2  -4  -5  -8  -9  -9  -7  -5  -7  -7  -8 0
DST1101*21RRX020   0  -6  -5  -6  -5  -3  -3  -5  -4  -2  -2  -4  -5  -8 -11 -15 -10  -9  -7  -2  -1  -4  -5  -7  -8  -6 0
DST1101*22RRX020   0  -8  -6  -4  -1   0  -2  -4  -4  -4  -4  -4  -3   0  -2  -8  -4  -2  -2  -3  -3  -5  -7  -8  -6  -4 0
DST1101*23RRX020   0  -4  -5  -7  -5  -2   0  -1  -1   0   0  -4  -6  -7 -10  -9  -7  -6  -5  -2  -1   0   0   0  -2  -4 0
DST1101*24RRX020   0  -1   2   3   2  -4   3   3   2   5   7   6   6   8   9   3   3   0  -3  -5  -6  -9 -13 -15 -16   0 0
DST1101*25RRX020   0 -13  -7 -11 -11 -11 -12 -12 -12 -11  -7 -12 -12  -8  -9 -10  -8  -8  -6  -5  -6  -8  -7  -6  -6  -9 0
DST1101*26RRX020   0  -7  -6  -8  -8  -9  -9  -8  -5  -3  -4  -3   0   3   1  -1  -4  -8  -1   3   1  -1  -8 -12 -10  -4 0
DST1101*27RRX020   0  -8  -7  -7  -8  -7  -6  -5  -4  -4  -6  -9 -10 -10  -9  -8  -7  -9 -10  -9  -6  -6  -3  -3  -1  -7 0
DST1101*28RRX020   0   1  -2  -4  -5  -4  -4  -4  -1   3   5   4   2   1  -3  -6  -9  -9  -1   1   1   1   0   1   1  -1 0
DST1101*29RRX020   0  -2  -3  -2   1   0  -3  -3  -3   0   3   5   8  10   4  -4  -6  -8  -9  -5  -2  -1  -1   1   4  -1 1
DST1101*30RRX020   0   4   6   3   1  -3  -9  -9  -6  -4  -3  -2  -1   1   1  -1  -3  -3   1   5   6   4   4   3   7   0 1
DST1101*31RRX020   0   9  10  11  10   7  12  14  14  15  14  17  14   9   4   2   2  21  33  36  24  13  16  19   7  14 0
DST1102*01RRX020   0  10   6   1  -4  -2  -3 -12 -15  -6  -4  -6  -6  -6  -6  -9 -13 -19 -22 -24 -22 -21 -20 -20 -20 -10 0
DST1102*02RRX020   0 -21 -20 -16 -10  -9 -12 -17 -16 -12  -7  -4  -6 -10 -12 -15 -17 -17 -16 -16 -19 -21 -22 -21 -18 -15 0
DST1102*03RRX020   0 -17 -16 -16 -16 -15 -13 -13 -15 -17 -14 -13 -12 -11 -11 -11 -10 -10 -10 -10  -9 -10 -12 -10  -6 -12 1
DST1102*04RRX020   0  -6  -6  -4  -1  -8  -9  -6  -5  -1   2  -2  -6  -5  -6   2  11  16  13  -5  -9 -32 -67 -61 -56 -10 1
DST1102*05RRX020   0 -51 -50 -48 -41 -49 -53 -56 -54 -57 -57 -52 -45 -39 -38 -36 -37 -36 -34 -31 -33 -34 -39 -40 -37 -44 1
DST1102*06RRX020   0 -37 -33 -32 -34 -36 -34 -38 -37 -40 -34 -37 -34 -36 -38 -35 -36 -37 -35 -35 -36 -36 -35 -36 -31 -36 1
DST1102*07RRX020   0 -30 -27 -26 -26 -26 -26 -26 -25 -25 -25 -26 -26 -25 -27 -26 -26 -25 -27 -26 -24 -22 -24 -24 -25 -26 1
DST1102*08RRX020   0 -25 -23 -19 -22 -23 -23 -23 -21 -19 -18 -18 -17 -14 -15 -16 -16 -15 -14 -12 -12 -12 -19 -17 -15 -20 1
DST1102*09RRX020   0 -9  -13 -14 -16 -18 -15 -15 -15 -14 -14 -15 -16 -15 -15 -17 -19 -20  -21 -21-19 -16 -19999999999999 1
